run_id,Category,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
146,0 Star,y62okl6z,41,https://www.speedrun.com/sm64/run/y62okl6z,2023-07-09T23:09:38Z,513,513,joo4ykej,Battaflai,Germany,EMU,Yes
147,0 Star,znp350vm,42,https://www.speedrun.com/sm64/run/znp350vm,2022-05-06T18:53:50Z,514,514,18v7n5n8,Nyx64,,EMU,Yes
149,0 Star,mk4w3dvy,43,https://www.speedrun.com/sm64/run/mk4w3dvy,2018-02-20T21:46:22Z,516,516,kjp9p28q,Sigotu,Poland,EMU,Yes
150,0 Star,y65kdn1z,44,https://www.speedrun.com/sm64/run/y65kdn1z,2020-08-31T05:20:59Z,516,516,qxkk329x,SSPssp,South Korea,EMU,Yes
153,0 Star,zqj8nv9m,45,https://www.speedrun.com/sm64/run/zqj8nv9m,2023-07-23T19:19:13Z,519,519,jn9qe22x,Famin,United States,EMU,Yes
157,0 Star,y9v662nm,46,https://www.speedrun.com/sm64/run/y9v662nm,2022-06-09T14:34:31Z,530,530,8l02n628,mojopug,Spain,EMU,Yes
158,0 Star,y2pggk9z,47,https://www.speedrun.com/sm64/run/y2pggk9z,2022-06-15T03:53:48Z,530,530,xk4rk32j,Tankfird,United States,EMU,Yes
165,0 Star,m3r43jqm,48,https://www.speedrun.com/sm64/run/m3r43jqm,2021-07-11T20:15:14Z,540,540,jo3o7dej,456Productions,United States,EMU,Yes
166,0 Star,yjddnp7y,49,https://www.speedrun.com/sm64/run/yjddnp7y,2022-09-14T00:28:43Z,540,540,pj0eny48,scoagogo,Northern Ireland,EMU,Yes
169,0 Star,yvq5ro8m,50,https://www.speedrun.com/sm64/run/yvq5ro8m,2022-03-07T00:53:13Z,546,546,863719q8,BananilsonFarofa,Brazil,EMU,Yes
173,0 Star,y2pke6jz,51,https://www.speedrun.com/sm64/run/y2pke6jz,2022-06-19T21:43:53Z,550,550,8vkqwknj,GroundPoundGary,United States,EMU,Yes
176,0 Star,zqjok78m,52,https://www.speedrun.com/sm64/run/zqjok78m,2023-08-19T20:57:46Z,555,555,8d3mywlx,ross3102,United States,EMU,Yes
178,0 Star,yvrv04ez,53,https://www.speedrun.com/sm64/run/yvrv04ez,2022-06-19T19:14:55Z,559,559,xkmp5p7j,Puxel64,,EMU,Yes
179,0 Star,zq78k3rm,54,https://www.speedrun.com/sm64/run/zq78k3rm,2022-06-21T22:44:04Z,559,559,8g5772rj,Semaa,Bosnia and Herzegovina,EMU,Yes
181,0 Star,y80d3jdm,55,https://www.speedrun.com/sm64/run/y80d3jdm,2023-01-11T15:46:55Z,563,563,zx7dz1vx,AlejoWasHere,Spain,EMU,Yes
182,0 Star,z0jrk44y,56,https://www.speedrun.com/sm64/run/z0jrk44y,2023-06-12T20:10:08Z,563,563,xz06gme8,RxCursed,Colombia,EMU,Yes
183,0 Star,me97n82z,57,https://www.speedrun.com/sm64/run/me97n82z,2021-02-07T20:33:13Z,564,564,86v01k5j,camgibb,United States,EMU,Yes
186,0 Star,y2grn67z,58,https://www.speedrun.com/sm64/run/y2grn67z,2023-08-12T12:00:55Z,566,566,8107re5x,skiprandom736,Singapore,EMU,Yes
190,0 Star,zn1kp89m,59,https://www.speedrun.com/sm64/run/zn1kp89m,2021-04-28T12:19:24Z,576,576,j2yzn568,gamer_nl,Netherlands,EMU,Yes
197,0 Star,y998x1ky,60,https://www.speedrun.com/sm64/run/y998x1ky,2021-06-10T00:57:53Z,614,614,8ge9k0rj,ryompt,United States,EMU,Yes
200,0 Star,y21rj95z,61,https://www.speedrun.com/sm64/run/y21rj95z,2020-02-04T07:59:38Z,636,636,qj2l346x,TheSimplePotato,United States,EMU,Yes
201,0 Star,dy4n7qml,62,https://www.speedrun.com/sm64/run/dy4n7qml,,640,640,,,,EMU,Yes
202,0 Star,yvp2vw6y,63,https://www.speedrun.com/sm64/run/yvp2vw6y,2023-06-05T18:38:19Z,641,641,x3w377ej,AbUnderscored,Jordan,EMU,Yes
203,0 Star,mk09783z,64,https://www.speedrun.com/sm64/run/mk09783z,2023-05-08T02:03:55Z,642,642,j52myw6j,Mario104,China,EMU,Yes
206,0 Star,mrk7x62y,65,https://www.speedrun.com/sm64/run/mrk7x62y,2020-06-09T19:29:34Z,657,657,v81eydrj,Minelover,United States,EMU,Yes
207,0 Star,y2kg01wy,66,https://www.speedrun.com/sm64/run/y2kg01wy,2023-12-09T15:22:35Z,663,663,8lrkpl78,welfare_ninja,Canada,EMU,Yes
211,0 Star,y6n47w6z,67,https://www.speedrun.com/sm64/run/y6n47w6z,2022-03-16T14:58:27Z,670,670,86nz1n0x,3DMan06,Germany,EMU,No
212,0 Star,yvpxwd6y,68,https://www.speedrun.com/sm64/run/yvpxwd6y,2023-07-29T09:12:07Z,670,670,8w1rr94x,sanj,Canada,EMU,Yes
214,0 Star,1zqpv9ml,69,https://www.speedrun.com/sm64/run/1zqpv9ml,,681,681,v8lo348m,Pokeblok,New Zealand,EMU,Yes
216,0 Star,z12e2pjy,70,https://www.speedrun.com/sm64/run/z12e2pjy,2022-03-24T09:37:44Z,693,693,8r7zwndj,Ayushman4321,India,EMU,Yes
218,0 Star,zn7669vm,71,https://www.speedrun.com/sm64/run/zn7669vm,2022-03-15T03:47:56Z,696,696,j0vkm73x,druz,United States,EMU,Yes
219,0 Star,yl6lo7ny,72,https://www.speedrun.com/sm64/run/yl6lo7ny,2023-07-16T10:44:33Z,704,704,j26ewg7x,Littlezombie,China,EMU,Yes
220,0 Star,mr1lj5dz,73,https://www.speedrun.com/sm64/run/mr1lj5dz,2021-06-07T21:40:40Z,720,720,8l0g37v8,niko22,Colombia,EMU,Yes
231,0 Star,y6qlpgpz,74,https://www.speedrun.com/sm64/run/y6qlpgpz,2023-09-24T20:57:45Z,815,815,81m4wnq8,LameOH,United States,EMU,Yes
235,0 Star,zgedl2ny,75,https://www.speedrun.com/sm64/run/zgedl2ny,2023-06-23T04:28:12Z,857,857,j20qnrlx,MrFroggy,United States,EMU,Yes
236,0 Star,z0pjv4ey,76,https://www.speedrun.com/sm64/run/z0pjv4ey,2022-06-17T13:01:12Z,877,877,8en063p8,Prismatic_Fast,United States,EMU,Yes
247,0 Star,yw4jx19z,77,https://www.speedrun.com/sm64/run/yw4jx19z,2019-09-21T02:59:53Z,1576,1576,qj2rw3ox,iZePlayz,Germany,EMU,Yes
251,0 Star,y4gp7w3y,78,https://www.speedrun.com/sm64/run/y4gp7w3y,2023-04-18T17:01:46Z,2706,2706,qxk59y7x,KingToad64,France,EMU,No
252,0 Star,me3elj9z,79,https://www.speedrun.com/sm64/run/me3elj9z,2022-06-09T20:50:07Z,2863,2863,j5vgmmg8,Hendyman,Germany,EMU,Yes
